timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
2022-11-01T00:45:46,codecarbon,5ceb047d-8bf9-4a14-951a-a2f799066291,5.749876022338867,9.660035756615668e-06,0.0016800424424953,42.5,8.301000000000002,2.9440126419067383,6.787499222490523e-05,1.1369341777364416e-05,4.031836313382656e-06,8.327617031565231e-05,Denmark,DNK,capital region,,,Windows-10-10.0.19041-SP0,3.7.13,8,Intel(R) Core(TM) i5-9300H CPU @ 2.40GHz,1,1 x NVIDIA GeForce GTX 1650 with Max-Q Design,12.5892,55.6802,7.850700378417969,machine,N
2022-11-01T00:47:13,codecarbon,4649a3d4-228b-4fd9-8dd6-90b377d289c6,5.817708730697632,9.69431741167011e-06,0.0016663462989333,42.5,7.271,2.9440126419067383,6.867538409100638e-05,1.0603441506491768e-05,4.292876227244164e-06,8.357170182474231e-05,Denmark,DNK,capital region,,,Windows-10-10.0.19041-SP0,3.7.13,8,Intel(R) Core(TM) i5-9300H CPU @ 2.40GHz,1,1 x NVIDIA GeForce GTX 1650 with Max-Q Design,12.5892,55.6802,7.850700378417969,machine,N
2022-11-01T00:59:36,codecarbon,db5e5954-1ff1-486d-870c-f2a4857a9e33,6.010941028594971,1.0128825258104422e-05,0.0016850648192887,42.5,8.409,2.9440126419067383,7.09506682223744e-05,1.21226276242733e-05,4.244163274942139e-06,8.731745912158984e-05,Denmark,DNK,capital region,,,Windows-10-10.0.19041-SP0,3.7.13,8,Intel(R) Core(TM) i5-9300H CPU @ 2.40GHz,1,1 x NVIDIA GeForce GTX 1650 with Max-Q Design,12.5892,55.6802,7.850700378417969,machine,N
2022-11-01T17:31:56,codecarbon,94f49cb5-504e-4440-bc0b-4c0760c0506c,24.27960205078125,4.125524441741816e-05,0.0016991730066716,42.5,8.747,2.9440126419067383,0.0002866164472368,5.03026710735427e-05,1.8729540460500595e-05,0.0003556486587708,Denmark,DNK,capital region,,,Windows-10-10.0.19041-SP0,3.7.13,8,Intel(R) Core(TM) i5-9300H CPU @ 2.40GHz,1,1 x NVIDIA GeForce GTX 1650 with Max-Q Design,12.5892,55.6802,7.850700378417969,machine,N
2022-11-01T17:32:57,codecarbon,ee7f704a-e3d8-4d74-b787-141d1dd7c309,20.936526775360107,4.334622587310048e-05,0.002070363739802,42.5,8.695,2.9440126419067383,0.0002471614051196,9.763983027637004e-05,2.8879022299624355e-05,0.0003736802576956,Denmark,DNK,capital region,,,Windows-10-10.0.19041-SP0,3.7.13,8,Intel(R) Core(TM) i5-9300H CPU @ 2.40GHz,1,1 x NVIDIA GeForce GTX 1650 with Max-Q Design,12.5892,55.6802,7.850700378417969,machine,N
2022-11-01T17:34:35,codecarbon,aece3d71-1768-4cb7-aea9-458cdc4e73e7,3.363475561141968,5.55421921922874e-06,0.0016513333063561,42.5,8.743,2.9440126419067383,3.9695904155572256e-05,6.123688756889767e-06,2.0616072533029712e-06,4.7881200165765e-05,Denmark,DNK,capital region,,,Windows-10-10.0.19041-SP0,3.7.13,8,Intel(R) Core(TM) i5-9300H CPU @ 2.40GHz,1,1 x NVIDIA GeForce GTX 1650 with Max-Q Design,12.5892,55.6802,7.850700378417969,machine,N
2022-11-01T20:43:22,codecarbon,0d82c099-3916-46a7-babb-0206d16493cc,6.651046514511108,1.1297047173035176e-05,0.0016985367864121,42.5,8.723,2.9440126419067383,7.851338552104102e-05,1.411242177459929e-05,4.762530402938789e-06,9.73883376985791e-05,Denmark,DNK,capital region,,,Windows-10-10.0.19041-SP0,3.7.13,8,Intel(R) Core(TM) i5-9300H CPU @ 2.40GHz,1,1 x NVIDIA GeForce GTX 1650 with Max-Q Design,12.5892,55.6802,7.850700378417969,machine,N
2022-11-01T20:49:29,codecarbon,5a4712fe-2f68-4cff-b60b-8b89c2f18ae5,24.294888973236084,4.0915227794319205e-05,0.0016841084492871,42.5,8.63,2.9440126419067383,0.000286767434246,4.677449409630564e-05,1.9175552643194464e-05,0.0003527174809855,Denmark,DNK,capital region,,,Windows-10-10.0.19041-SP0,3.7.13,8,Intel(R) Core(TM) i5-9300H CPU @ 2.40GHz,1,1 x NVIDIA GeForce GTX 1650 with Max-Q Design,12.5892,55.6802,7.850700378417969,machine,N
2022-11-01T20:51:29,codecarbon,7ff14ad8-123c-41e1-a152-491351e9ec46,23.16704034805298,3.9667331397890505e-05,0.001712231290745,42.5,7.657000000000001,2.9440126419067383,0.0002734884641236,5.064455431262652e-05,1.7826734993791058e-05,0.00034195975343,Denmark,DNK,capital region,,,Windows-10-10.0.19041-SP0,3.7.13,8,Intel(R) Core(TM) i5-9300H CPU @ 2.40GHz,1,1 x NVIDIA GeForce GTX 1650 with Max-Q Design,12.5892,55.6802,7.850700378417969,machine,N
2022-11-01T20:52:47,codecarbon,bd1e057b-ceab-4d76-8420-d650d7b1cc9e,21.88598275184632,3.731368816549406e-05,0.0017049126186643,42.5,5.918,2.9440126419067383,0.0002583348575565,4.615248061113887e-05,1.718238739691003e-05,0.0003216697255646,Denmark,DNK,capital region,,,Windows-10-10.0.19041-SP0,3.7.13,8,Intel(R) Core(TM) i5-9300H CPU @ 2.40GHz,1,1 x NVIDIA GeForce GTX 1650 with Max-Q Design,12.5892,55.6802,7.850700378417969,machine,N
2022-11-01T20:57:56,codecarbon,66316ac9-7cf6-4bcd-ae51-d4bdb42ad056,23.35403275489807,3.988063588856264e-05,0.0017076552177138,42.5,7.458,2.9440126419067383,0.0002756246729029,5.02144739733802e-05,1.7959438369894467e-05,0.0003437985852462,Denmark,DNK,capital region,,,Windows-10-10.0.19041-SP0,3.7.13,8,Intel(R) Core(TM) i5-9300H CPU @ 2.40GHz,1,1 x NVIDIA GeForce GTX 1650 with Max-Q Design,12.5892,55.6802,7.850700378417969,machine,N
2022-11-01T21:08:45,codecarbon,53cee420-f765-4408-a4b5-ebf0e741ea68,7.831836462020874,1.3339144526548914e-05,0.0017031949774787,42.5,8.629,2.9440126419067383,9.24532668458091e-05,1.6805965385569468e-05,5.733392997491365e-06,0.0001149926252288,Denmark,DNK,capital region,,,Windows-10-10.0.19041-SP0,3.7.13,8,Intel(R) Core(TM) i5-9300H CPU @ 2.40GHz,1,1 x NVIDIA GeForce GTX 1650 with Max-Q Design,12.5892,55.6802,7.850700378417969,machine,N
2022-11-01T21:10:48,codecarbon,f4ccf717-5b25-49d4-b094-4225ee63215e,8.13739824295044,1.387695841316638e-05,0.0017053311143015,42.5,8.667,2.9440126419067383,9.60251596238878e-05,1.761927335321903e-05,5.984518860534347e-06,0.0001196289518376,Denmark,DNK,capital region,,,Windows-10-10.0.19041-SP0,3.7.13,8,Intel(R) Core(TM) i5-9300H CPU @ 2.40GHz,1,1 x NVIDIA GeForce GTX 1650 with Max-Q Design,12.5892,55.6802,7.850700378417969,machine,N
2022-11-04T14:09:41,codecarbon,09750733-d0bf-494b-b907-5c208060ca0e,162.62161254882812,0.0002760572631426,0.0016975435110741,42.5,8.028,2.9440126419067383,0.001919330775241,0.0003332051759518,0.0001272680414163,0.0023798039926092,Denmark,DNK,,,,Windows-10-10.0.19041-SP0,3.7.13,8,Intel(R) Core(TM) i5-9300H CPU @ 2.40GHz,1,1 x NVIDIA GeForce GTX 1650 with Max-Q Design,12.5892,55.6802,7.850700378417969,machine,N
2022-11-04T14:14:02,codecarbon,988b430d-e3aa-419e-a679-d3ae504b34b7,144.91957592964172,0.0002474991425634,0.0017078378885378,42.5,9.125,2.9440126419067383,0.0017107143526275,0.0003095223115381,0.0001133766337952,0.002133613297961,Denmark,DNK,,,,Windows-10-10.0.19041-SP0,3.7.13,8,Intel(R) Core(TM) i5-9300H CPU @ 2.40GHz,1,1 x NVIDIA GeForce GTX 1650 with Max-Q Design,12.5892,55.6802,7.850700378417969,machine,N
2022-11-14T12:27:06,codecarbon,a05ab5ec-6e2c-41bc-af3b-dc6435a91bd5,1.455172061920166,2.2820707493168973e-06,0.001568248050547,42.5,7.1080000000000005,2.9440126419067383,1.7173201011286842e-05,1.7679708430502151e-06,7.318518466706792e-07,1.9673023701007736e-05,Denmark,DNK,capital region,,,Windows-10-10.0.19041-SP0,3.7.13,8,Intel(R) Core(TM) i5-9300H CPU @ 2.40GHz,1,1 x NVIDIA GeForce GTX 1650 with Max-Q Design,12.5892,55.6802,7.850700378417969,machine,N
